season,season_label,avg_points,avg_fg3a,avg_fg3m,avg_fga,avg_three_point_rate,avg_assists,avg_rebounds,games_count,teams_count
1985,1985-86,110.22,3.331,0.941,88.631,0.038,26.004,43.561,943,23
1986,1986-87,109.935,4.714,1.425,88.792,0.053,25.976,44.012,943,23
1987,1987-88,108.162,4.995,1.58,87.721,0.057,25.764,43.387,943,23
1988,1988-89,109.169,6.552,2.113,88.968,0.074,25.568,43.917,1025,25
1989,1989-90,106.993,6.598,2.181,87.15,0.076,24.852,43.143,1107,27
1990,1990-91,106.31,7.142,2.283,87.199,0.082,24.743,43.259,1107,27
1991,1991-92,105.309,7.632,2.523,87.349,0.087,24.477,43.668,1107,27
1992,1992-93,105.272,8.954,3.012,85.95,0.104,24.705,43.137,1107,27
1993,1993-94,101.507,9.895,3.298,84.44,0.117,24.392,42.995,1107,27
1994,1994-95,101.408,15.307,5.489,81.492,0.188,23.364,41.556,1107,27
1995,1995-96,99.503,16.048,5.887,80.183,0.2,22.687,41.253,1189,29
1996,1996-97,96.902,16.797,6.048,79.308,0.212,22.046,41.086,1189,29
1997,1997-98,95.571,12.713,4.394,79.704,0.159,22.029,41.547,1189,29
1998,1998-99,91.581,13.159,4.457,78.192,0.168,20.724,41.652,725,29
1999,1999-00,97.472,13.715,4.841,82.094,0.167,22.342,42.919,1189,29
2000,2000-01,94.81,13.708,4.846,80.599,0.17,21.777,42.468,1189,29
2001,2001-02,95.476,14.749,5.215,81.271,0.181,21.922,42.401,1189,29
2002,2002-03,95.081,14.681,5.13,80.786,0.182,21.503,42.306,1189,29
2003,2003-04,93.397,14.925,5.181,79.816,0.187,21.303,42.204,1189,29
2004,2004-05,97.199,15.751,5.6,80.336,0.196,21.277,41.858,1230,30
2005,2005-06,97.009,15.981,5.726,78.99,0.202,20.614,40.957,1230,30
2006,2006-07,98.739,16.94,6.067,79.704,0.213,21.287,41.054,1230,30
2007,2007-08,99.923,18.107,6.554,81.504,0.222,21.75,41.98,1230,30
2008,2008-09,99.951,18.123,6.647,80.916,0.224,20.978,41.295,1230,30
2009,2009-10,100.447,18.139,6.432,81.703,0.222,21.243,41.724,1230,30
2010,2010-11,99.55,18.013,6.458,81.215,0.222,21.499,41.389,1230,30
2011,2011-12,96.26,18.381,6.411,81.427,0.226,20.976,42.178,990,30
2013,2013-14,101.009,21.534,7.746,82.997,0.259,22.004,42.748,1230,30
2014,2014-15,100.014,22.413,7.846,83.565,0.268,22.033,43.294,1230,30
2015,2015-16,102.672,24.082,8.517,84.573,0.285,22.289,43.758,1230,30
2016,2016-17,105.591,27.0,9.654,85.412,0.316,22.626,43.514,1230,30
2017,2017-18,106.333,29.0,10.491,86.06,0.337,23.237,43.516,1230,30
2018,2018-19,111.209,32.009,11.364,89.211,0.359,24.587,45.165,1230,30
2019,2019-20,111.798,34.113,12.211,88.818,0.384,24.386,44.833,1059,30
2020,2020-21,112.091,34.64,12.698,88.418,0.392,24.804,44.299,1080,30
2021,2021-22,110.616,35.177,12.438,88.098,0.399,24.649,44.45,1230,30
2022,2022-23,114.686,34.213,12.341,88.3,0.387,25.317,43.438,1230,30
